Source path,Class name,Signature,Checksum,Description,Return value description,Technique 1,Technique 2,Technique 3,Inference time (ms),Input tokens,Output tokens
exist-start/src/main/java/org/exist/start/classloader/EXistClassLoader.java,org.exist.start.classloader.EXistClassLoader,"org.exist.start.classloader.EXistClassLoader{name=addURLs,return=void,parameters=[org.exist.start.classloader.Classpath]}",0442c0cb4eb6b283e502577a73f837d328ec2f5e8663854d14ca4b26844b0c1d,,,,,,0,279,0
exist-start/src/main/java/org/exist/start/classloader/ReflectionUtils.java,org.exist.start.classloader.ReflectionUtils,"org.exist.start.classloader.ReflectionUtils{name=invokeMain,return=void,parameters=[java.lang.ClassLoader,java.lang.String,java.lang.String[]]}",938021f5573e0ee60f8a46ccc70f973c72300a363afa1e2e5879b55fb71f2b24,,,,,,0,531,0
exist-start/src/main/java/org/exist/start/classloader/Classpath.java,org.exist.start.classloader.Classpath,"org.exist.start.classloader.Classpath{name=addComponent,return=boolean,parameters=[java.lang.String]}",fc20ca9a479e224598c0f6bbff1ec46b189392e13cff3bbe0c6d67032f09b78b,,,,,,0,285,0
exist-start/src/main/java/org/exist/start/classloader/Classpath.java,org.exist.start.classloader.Classpath,"org.exist.start.classloader.Classpath{name=addComponent,return=boolean,parameters=[java.nio.file.Path]}",bc7447936dd8c8271458f56aa5ad880552a8e28cee82c1b92790678d93c3bf36,,,,,,0,286,0
exist-start/src/main/java/org/exist/start/classloader/Classpath.java,org.exist.start.classloader.Classpath,"org.exist.start.classloader.Classpath{name=addClasspath,return=void,parameters=[java.lang.String]}",06aa41af8ac857d7399f49a47cbc9d67aa516949b7159c016ba4fa12ad83b8b4,,,,,,0,272,0
exist-start/src/main/java/org/exist/start/classloader/Classpath.java,org.exist.start.classloader.Classpath,"org.exist.start.classloader.Classpath{name=iterator,return=java.util.Iterator<java.nio.file.Path>,parameters=[]}",e54193399ed3964a7472d08549493827e08512ea7a6d90fd5ccb61b8962a4f74,,,,,,0,239,0
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,"org.exist.start.Main{name=main,return=void,parameters=[java.lang.String[]]}",8456bfc6eb0b51a234e83e1f17839a6123890aa64a01b5c757b571995f30563e,,,,,,0,265,0
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,"org.exist.start.Main{name=run,return=void,parameters=[java.lang.String[]]}",67f5220fe5c8f73eb9ca212f7d8cda504145eb222e308df1ec9713778957d08f,,,,,,0,287,0
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,"org.exist.start.Main{name=startExistdb,return=void,parameters=[java.lang.String[]]}",2dface1ec09c5a447be69776838c2bf32f1e02e60694ceee8dc4fe5c0fcef6f5,,,,,,0,704,0
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,"org.exist.start.Main{name=shutdownExistdb,return=void,parameters=[]}",3bafe23aa5907645a99c4efac7ac860ae2a0240b6bcfd607f72c95e49a84f182,,,,,,0,486,0
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck,"org.exist.start.CompatibleJavaVersionCheck{name=checkForCompatibleJavaVersion,return=void,parameters=[]}",9a4a480abee594ade583930aec90e364272afa73be18a7e0f4482c94a281d59b,,,,,,0,291,0
